mean,std,abs_mean,iqr,bp_delta,bp_theta,bp_alpha,bp_beta
1.335144e-09,0.02581765,0.018437514,0.027371697,0.8669513,0.07609439,0.040448464,0.028342975
1.2715657e-09,0.025249202,0.018076746,0.025972005,1.1588285,0.06677098,0.032270554,0.02725044
-2.3682911e-09,0.018667432,0.01385688,0.021150855,0.1972192,0.052898943,0.045003384,0.029080374
-1.2397766e-09,0.029964285,0.020412821,0.027060654,0.6346558,0.07623476,0.054566115,0.027482703
-1.5258789e-09,0.02516492,0.018937055,0.029237946,0.5720523,0.059133846,0.047001626,0.03036466
1.3669332e-09,0.025627743,0.019105235,0.028926903,0.8294911,0.090555646,0.06245664,0.025307452
-1.6371409e-09,0.025570832,0.017768046,0.025660962,0.58785826,0.07086112,0.062104676,0.028894449
-4.768372e-10,0.024650844,0.018203115,0.027060654,0.39814895,0.0678955,0.036483612,0.03465332
-1.3192495e-09,0.024207756,0.017752405,0.027527217,0.46980843,0.07026205,0.038790848,0.028091168
-1.4305115e-09,0.03449818,0.025720028,0.038724728,0.8153283,0.0598538,0.035099212,0.027188428
2.5431315e-10,0.026964363,0.019713875,0.028615862,1.1238947,0.0849151,0.03614983,0.027455486
8.106232e-10,0.024702659,0.018308258,0.027216174,0.42564005,0.061566196,0.04832882,0.02630211
4.1325887e-10,0.02838924,0.020656914,0.030482115,0.4677392,0.06524243,0.037822835,0.026199615
1.2715658e-10,0.027345935,0.018882832,0.02674961,1.0925405,0.100440264,0.028927341,0.025784083
-3.1789144e-10,0.024492696,0.018339552,0.028304823,0.41520053,0.051252097,0.043918375,0.026533334
-1.3510386e-10,0.027608074,0.018666236,0.024416797,0.40627402,0.061815057,0.046543658,0.027294775
-2.0345052e-09,0.028069915,0.02081717,0.03125972,0.3147255,0.055139937,0.033170998,0.028363321
1.7881393e-09,0.029549977,0.021191178,0.02939347,0.60366595,0.074310616,0.04269617,0.03159503
-1.192093e-10,0.02276725,0.015904441,0.021306375,0.23014131,0.049783144,0.03126694,0.026635567
-4.4504803e-10,0.02917159,0.021262636,0.02954899,1.344975,0.14680958,0.0728221,0.031843353
1.6212464e-09,0.026886778,0.019415226,0.027216174,0.80880195,0.08760812,0.032431696,0.031205963
1.9073487e-09,0.027270421,0.018210841,0.02379471,0.51523614,0.04332417,0.034455977,0.028914517
4.7683715e-11,0.025334239,0.017446876,0.023328148,0.3746349,0.06365073,0.041281976,0.027142502
